hashtag_id;hashtag_content;cluster
129;PurpleHeartDay;0
251;EarthDay;0
195;CNN;0
106;CaucusForTrump;0
285;FlashbackFriday;1
120;LaudatoSi;0
8;Decision2016;0
264;AlwaysTrump;0
305;WCS16;0
80;RNCINCLE;0
318;EndGunViolence;0
312;KansasCaucus;0
179;WHCD;0
209;polls;0
276;Elkhart;0
110;WeTrumpHate;0
175;EauClaire;0
370;CommonLaw;0
99;NewHampshire;0
48;CAPrimary;0
28;NVcaucus;0
94;SecondAmendment;0
313;LittleMarco;0
262;Jonas;0
362;StoptheHate;0
204;AZPrimary;0
151;MeetTheTrumps;0
384;Orlando;0
162;SheWon;0
30;WIBackHer;0
253;Teachers4Trump;0
119;Benghazi;1
399;WH;0
356;VoteTrump2016;0
299;TrumpPence16;0
95;ugpride2016;0
270;Utah4Trump;0
122;HillaryOnCNN;0
62;VoteTrump;0
329;Iowa;0
268;taxplan;0
214;TeacherAppreciationDay;0
310;PrimaryDay;0
180;DemPlatform;0
397;fixdemocracyfirst;0
390;OrlandoUnited;0
127;VoteTrumpNH;0
101;NevadaCaucus;0
339;FightForFamilies;0
20;DonaldTrump;0
330;enough;0
82;NewYork;0
25;veterans;0
359;USA;0
26;CrookedHillary;0
213;WorldRefugeeDay;0
137;MorningJoe;0
117;USMC2016;0
185;NeverCruz;0
265;TrumpSupporters;0
405;ISIS;0
379;NPS100;0
292;TBT;0
168;Mexico;0
136;Trump;0
218;LaurenceTribe;0
196;GoldenGlobe;0
309;DACA;0
373;Obamacare;0
349;WOMEN4TRUMP;0
363;JohnRyder;0
341;StopCommonCore;0
238;AIDSFreeGeneration;0
27;RNCInCLE;0
286;DivoDeJuarez;0
230;RogerStone;0
409;VoteTrumpMI;0
414;SouthCarolinaPrimary;0
155;PAPrimary;0
417;Trump2016;0
149;MAGA;0
389;FirstInPOTUS;0
93;ECONOMY;0
307;NeverForget;0
97;CommonCore;0
382;NaturalBorn;0
335;UtahPrimary;0
205;HoustonFlood;0
197;dtmag;0
187;GunViolence;0
114;Imwithyou;0
351;AsLongAsItTakes;0
191;UtahCaucus;0
156;Bush;0
295;IowaCaucus;0
11;StanleyCup;0
302;DemsInPHL;0
386;SayHerName;0
269;HillaryOnGMA;0
249;Utah;0
228;DemConvention;0
135;WashingtonDC;0
194;HaileyPuckett;0
126;NewDay;0
252;sitin;0
39;BuildTheWall;0
316;FNS;0
336;NeverTrump;0
132;TrumpWaikiki;0
378;POTUS;0
131;UTCaucus;0
369;DemsinPHL;0
67;LawandOrder;0
178;Mormon;0
255;MichaelBrown;0
357;LESM;0
241;HillaryKaine2016;0
352;Prince;0
325;NationalVoterRegistrationDay;0
17;NotOneMore;0
395;Colbert;0
142;60Minutes;0
66;NYCPride;0
224;imwithyou;0
89;RollCallVote;0
160;gunviolence;0
284;DEPrimary;0
50;TrumpForPresident;0
33;Brexit;0
57;1;1
109;HRC4PA;0
51;GPLFers;0
239;ROGERAILES;0
288;Hillary2016;0
31;GOPConvention;0
406;Pulse;0
76;RIPrimary;0
69;IranDeal;0
334;SCPrimary;0
203;Trump4President;0
385;Turkey;0
34;DDay;0
393;MadeForHistory;0
219;NBCNewsForum;0
81;ThanksObama;0
296;MemorialDay;0
12;ObamaCare;0
273;TedCruz;0
282;GOP;0
10;WeMadeHistory;0
79;RiggedSystem;1
321;VoteTrumpWI;0
428;EndCommonCore;0
42;fairandbalancedmyass;0
324;SouthCarolina;0
90;smallbiz;0
18;RTM2016;0
134;trump;0
146;media;0
59;DefendtheSecond;0
139;primary;0
143;RNCinCLE;0
192;UAW;0
338;HispanicHeritageMonth;0
424;TRUMPDOG;0
98;CBNNews;0
381;NABJNAHJ16;0
193;WesternTuesday;0
271;GoodTrouble;0
408;ImWithHer;0
243;TheDonald;0
167;DisarmHate;0
250;TitleIX;0
116;TrumpMovement;0
350;LSSC;0
64;iVoted;0
235;ArmedForcesDay;0
394;CincoDeMayo;1
387;StandTogether;0
248;WISCONSIN;0
84;MDPrimary;0
145;MakeAmericaGreatAgain;0
207;FAIL;0
198;Mahalo;0
74;TrumpIsWithYou;0
104;CA4Trump;0
418;RestoreTheVRA;0
413;LeadRight2016;0
163;IACaucus;0
6;CreatorsAskHRC;0
102;INDPrimary;0
315;TeamTrump;0
71;brexit;0
246;OpeningCeremony;1
29;Statehood;0
159;VoterFraud;1
2;LightweightSenatorMarcoRubio;0
343;TrumpinEverett;0
354;StopGunViolence;0
267;VoteTrumpIL;0
72;BikersForTrump;0
41;SallyRideDay;0
234;PhilandoCastile;0
186;VoteTrumpVT;0
177;MattSchlapp;0
141;KhizrKhan;0
402;SuperSaturday;0
346;MaryBrigidMcManamon;0
171;WeAreBernie;0
227;MothersoftheMovement;0
337;NYPrimary;0
380;NeverDems;0
247;TrumpLV;0
280;NoBillNoBreak;0
347;MegynKellyPresents;0
311;Racine;0
410;SuperBowlSunday;0
242;WomanCard;0
138;SB50;0
297;TrumpTrain;0
419;DemocraticSitIn;0
314;HistoryMade;0
190;MSPrimary;0
16;CTPrimary;0
391;WestVirginia;0
54;DeclareYourAmbition;0
274;MyTeacherIsWeird;0
400;VoteTrumpNV;0
342;AmericaFirst;0
320;NHPrimary;0
426;sendDonaldtospace;0
412;debatenight;1
103;DNC;1
47;AmericaGreatAgain;0
115;LibrarianOfCongress;0
148;AmericanSamoa;0
236;Arizona;0
208;goodtrouble;0
323;OHHillYes;0
322;Women4Ttump;0
211;TrumpCountry;0
46;Wausau;0
368;imwithher;0
294;Jobs;0
83;NeverHillary;0
36;Indiana;0
174;slipping;0
304;CoastGuardDay;1
15;AIPAC2016;0
361;Trump4Vets;0
125;YouthDay;0
77;CitizensUnited;0
140;TPP;0
407;MSM;1
4;Charleston9;0
153;Rio2016;1
257;BlacksForTrump;0
200;HarveyPitt;0
73;YUGE;0
182;makersandtakers;0
56;Olmstead;0
40;Excellent;0
53;holdthefloor;0
355;VoteTrumpSC;0
222;ArmyBDay;0
277;EastVillage;0
275;DNCinPHL;0
123;Carrier;0
261;IAPolitics;0
92;RNCwithBernie;0
23;voteTrump;0
348;MikePence;0
44;SOTU;0
371;2016;0
332;Wisconsin;0
333;DebateNight;0
58;UPUPUP;0
1;Ted;0
189;NeilCavuto;0
290;ORPrimary;0
404;Wimbledon;0
233;womancard;0
206;ALConvention2016;0
111;TrumpPence2016;0
237;MakeAmericaSafeAgain;0
364;VoteTrumpMA;0
372;TrumpNV;0
376;JuntosSePuede;0
86;StrongerTogether;0
226;TheTonightShow;0
49;Trump360;0
13;CruzFraud;0
22;WakeUpAmerica;0
360;MSNBCTownhall;0
91;makeamericagreatagain;0
70;Diwali;0
45;iRegistered;0
225;VotersSpeak;0
199;laurencetribe;0
303;UT;0
293;Debate;0
60;ActOnClimate;0
365;Enough;0
287;NHPolitics;0
165;GOPdebate;0
422;RIP;0
327;presidenttrump;0
105;WIPrimary;0
21;KenLangone;0
152;Laurence;0
75;ClintonKaine;0
124;ICYMI;0
401;KentuckyDerby;0
5;Enjoy;0
281;Clinton;0
229;TerenceCrutcher;0
301;ElectionDay;0
245;UNGA;0
181;JuanGabriel;0
425;StandWithLouisiana;1
415;GOPinCLE;0
340;ADA;0
43;Cruz;0
220;APAHM;0
367;Fox;0
259;BlackMenForBernie;0
166;TRUMP;0
392;WATCH;0
298;WomensEqualityDay;0
429;Debates2016;0
291;MDW;0
423;OpioidAwarenessWeek;0
254;DemsInPhilly;0
112;InternationalNursesDay;0
3;TrumpYourself;0
201;SuperTuesday;0
61;TRUMP2016;0
176;ChangeAgents;0
96;TrumpWon;1
87;Srebrenica;0
169;MadeInAmerica;0
388;SmallBizWeek;0
14;Frozen;1
396;Caribbean;0
344;MothersDay;0
107;Derp;0
319;TrumpDallas;0
147;jenniferrubin;0
221;With_Cruz_you_lose;0
121;election2016;0
210;WeWantTrump;0
258;MAKEAMERICAGREATAGAIN;0
161;Filibuster;0
398;TeamUSA;1
157;BrexitVote;0
19;ShesWithUs;0
108;Brussels;1
154;NewYorkValues;0
215;CommanderInChiefForum;0
65;SCOTUS;0
35;MaitnerStrong;0
52;NASCAR;0
317;GIBill;0
366;Ford;0
37;CripTheVote;0
173;LaborDay;0
85;GOPDebate;0
421;extremevetting;0
32;ImWithHernandez;0
375;MoreInCommon;0
188;MayDay;0
358;DemsinPhilly;0
164;RosanellEaton;0
326;TurnUpToVote;0
306;NAACP107;0
78;AZ;0
278;VoterRegistrationDay;0
345;GO;0
133;LoveTrumpsHate;0
289;FeelTheBern;0
279;Hannity;0
150;NATO;0
308;campaignfinance;0
100;NoMoreSilence;0
420;Politician;0
416;BlackWomensEqualPay;0
331;LAflood;0
232;NebraskaPrimary;0
427;LGBT;0
158;JimmyFallon;0
172;WHD;0
113;VoteTrumpNC;0
63;Donald;0
377;Rubio;0
9;ArizonaPrimary;0
183;NoLoyalty;0
24;ImWithYou;0
260;AmericaFIRST;0
411;INPrimary;0
184;EstoyConElla;0
403;Polls;0
170;VirWINia;0
55;2A;0
68;Mediafraud;0
374;RNC;0
118;WORK;0
244;RobotRubio;0
88;vaticanwalls;0
272;Greta;0
130;DavidCameron;0
223;debate;0
38;WheresHillary;1
240;RepMikeKelly;0
128;LoneStarState;0
300;SaveElephants;0
283;trump2016;0
231;UnderstandSlavery;0
217;HillaryClinton;0
353;FallonTonight;0
383;FoxNews;0
212;MichaelMoore;0
328;VoteTrumpNY;0
256;FITN;0
216;NetNeutrality;0
263;WattersWorld;0
202;ThankAVet;0
266;MakeYoutubeGreatAgain;0
144;OnTheRecord;0
7;LyingTed;0
